ano,ente,codigo,instituicao,conta,valor,coluna
2025,municipio,2700706,Prefeitura Municipal de Batalha - AL,DÍVIDA CONSOLIDADA,15241752.26,Até o 2º Quadrimestre
2025,municipio,2700706,Prefeitura Municipal de Batalha - AL,Disponibilidade de Caixa,7564363.88,Até o 2º Quadrimestre
2025,municipio,2700706,Prefeitura Municipal de Batalha - AL,Disponibilidade de Caixa Bruta,9774497.55,Até o 2º Quadrimestre
2025,municipio,2700706,Prefeitura Municipal de Batalha - AL,RECEITA CORRENTE LÍQUIDA,128493511.12,Até o 2º Quadrimestre
2025,municipio,2700706,Prefeitura Municipal de Batalha - AL,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO,127193511.12,Até o 2º Quadrimestre
2025,municipio,2700706,Prefeitura Municipal de Batalha - AL,% da DC sobre a RCL AJUSTADA (I/VI),11.98,Até o 2º Quadrimestre
2025,municipio,2700706,Prefeitura Municipal de Batalha - AL,% da DCL sobre a RCL AJUSTADA,-1.23,Até o 2º Quadrimestre
2025,municipio,2700508,Prefeitura Municipal de Barra de Santo Antônio - AL,DÍVIDA CONSOLIDADA,409387.68,Até o 2º Quadrimestre
2025,municipio,2700508,Prefeitura Municipal de Barra de Santo Antônio - AL,Disponibilidade de Caixa,5139082.04,Até o 2º Quadrimestre
2025,municipio,2700508,Prefeitura Municipal de Barra de Santo Antônio - AL,Disponibilidade de Caixa Bruta,5831754.77,Até o 2º Quadrimestre
2025,municipio,2700508,Prefeitura Municipal de Barra de Santo Antônio - AL,RECEITA CORRENTE LÍQUIDA,103667626.98,Até o 2º Quadrimestre
2025,municipio,2700508,Prefeitura Municipal de Barra de Santo Antônio - AL,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO,103667626.98,Até o 2º Quadrimestre
2025,municipio,2700508,Prefeitura Municipal de Barra de Santo Antônio - AL,% da DC sobre a RCL AJUSTADA (I/VI),0.39,Até o 2º Quadrimestre
2025,municipio,2700508,Prefeitura Municipal de Barra de Santo Antônio - AL,% da DCL sobre a RCL AJUSTADA,-4.56,Até o 2º Quadrimestre
2025,municipio,2700102,Prefeitura Municipal de Água Branca - AL,DÍVIDA CONSOLIDADA,5670617.12,Até o 2º Quadrimestre
2025,municipio,2700102,Prefeitura Municipal de Água Branca - AL,Precatórios (inclusive) Vencidos e Não Pagos,45055.13,Até o 2º Quadrimestre
2025,municipio,2700102,Prefeitura Municipal de Água Branca - AL,Disponibilidade de Caixa,62817424.71,Até o 2º Quadrimestre
2025,municipio,2700102,Prefeitura Municipal de Água Branca - AL,Disponibilidade de Caixa Bruta,65989472.65,Até o 2º Quadrimestre
2025,municipio,2700102,Prefeitura Municipal de Água Branca - AL,RECEITA CORRENTE LÍQUIDA,140097884.19,Até o 2º Quadrimestre
2025,municipio,2700102,Prefeitura Municipal de Água Branca - AL,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO,140097884.19,Até o 2º Quadrimestre
2025,municipio,2700102,Prefeitura Municipal de Água Branca - AL,% da DC sobre a RCL AJUSTADA (I/VI),4.05,Até o 2º Quadrimestre
2025,municipio,2700102,Prefeitura Municipal de Água Branca - AL,% da DCL sobre a RCL AJUSTADA,-41.19,Até o 2º Quadrimestre
2025,municipio,2700201,Prefeitura Municipal de Anadia - AL,DÍVIDA CONSOLIDADA,18745126.08,Até o 2º Quadrimestre
2025,municipio,2700201,Prefeitura Municipal de Anadia - AL,Disponibilidade de Caixa,6181545.19,Até o 2º Quadrimestre
2025,municipio,2700201,Prefeitura Municipal de Anadia - AL,Disponibilidade de Caixa Bruta,18010247.96,Até o 2º Quadrimestre
2025,municipio,2700201,Prefeitura Municipal de Anadia - AL,RECEITA CORRENTE LÍQUIDA,98303202.21,Até o 2º Quadrimestre
2025,municipio,2700201,Prefeitura Municipal de Anadia - AL,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO,98303202.21,Até o 2º Quadrimestre
