ano,ente,codigo,instituicao,conta,valor,coluna
2025,municipio,2200053,Prefeitura Municipal de Acauã - PI,DÍVIDA CONSOLIDADA,240818.85,Até o 2º Quadrimestre
2025,municipio,2200053,Prefeitura Municipal de Acauã - PI,Disponibilidade de Caixa,-253380.91,Até o 2º Quadrimestre
2025,municipio,2200053,Prefeitura Municipal de Acauã - PI,RECEITA CORRENTE LÍQUIDA,34922212.27,Até o 2º Quadrimestre
2025,municipio,2200053,Prefeitura Municipal de Acauã - PI,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO,34172212.27,Até o 2º Quadrimestre
2025,municipio,2200053,Prefeitura Municipal de Acauã - PI,% da DC sobre a RCL AJUSTADA (I/VI),0.7,Até o 2º Quadrimestre
2025,municipio,2200053,Prefeitura Municipal de Acauã - PI,% da DCL sobre a RCL AJUSTADA,1.45,Até o 2º Quadrimestre
2025,municipio,2200103,Prefeitura Municipal de Agricolândia - PI,DÍVIDA CONSOLIDADA,1356319.44,Até o 2º Quadrimestre
2025,municipio,2200103,Prefeitura Municipal de Agricolândia - PI,Disponibilidade de Caixa,11126399.1,Até o 2º Quadrimestre
2025,municipio,2200103,Prefeitura Municipal de Agricolândia - PI,Disponibilidade de Caixa Bruta,11423933.84,Até o 2º Quadrimestre
2025,municipio,2200103,Prefeitura Municipal de Agricolândia - PI,RECEITA CORRENTE LÍQUIDA,37973199.85,Até o 2º Quadrimestre
2025,municipio,2200103,Prefeitura Municipal de Agricolândia - PI,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO,37473199.85,Até o 2º Quadrimestre
2025,municipio,2200103,Prefeitura Municipal de Agricolândia - PI,% da DC sobre a RCL AJUSTADA (I/VI),3.62,Até o 2º Quadrimestre
2025,municipio,2200103,Prefeitura Municipal de Agricolândia - PI,% da DCL sobre a RCL AJUSTADA,-26.07,Até o 2º Quadrimestre
2025,municipio,2200277,Prefeitura Municipal de Alegrete do Piauí - PI,DÍVIDA CONSOLIDADA,469536.16,Até o 2º Quadrimestre
