exercicio,instituicao,uf,conta,valor
2019,Prefeitura Municipal de Abaiara - CE,CE,DÍVIDA CONSOLIDADA,17396852.75
2019,Prefeitura Municipal de Abaiara - CE,CE,Precatórios (inclusive) Vencidos e Não Pagos,181984.24
2019,Prefeitura Municipal de Abaiara - CE,CE,Disponibilidade de Caixa,1964552.65
2019,Prefeitura Municipal de Abaiara - CE,CE,Disponibilidade de Caixa Bruta,2763675.83
2019,Prefeitura Municipal de Abaiara - CE,CE,RECEITA CORRENTE LÍQUIDA,25977270.88
2019,Prefeitura Municipal de Acopiara - CE,CE,DÍVIDA CONSOLIDADA,41974661.0
2019,Prefeitura Municipal de Acopiara - CE,CE,Precatórios (inclusive) Vencidos e Não Pagos,227238.91
2019,Prefeitura Municipal de Acopiara - CE,CE,Disponibilidade de Caixa,49511306.04
2019,Prefeitura Municipal de Acopiara - CE,CE,Disponibilidade de Caixa Bruta,55379434.23
2019,Prefeitura Municipal de Acopiara - CE,CE,RECEITA CORRENTE LÍQUIDA,101985860.77
2019,Prefeitura Municipal de Acopiara - CE,CE,Precatórios (Não incluídos na DC),24432.41
2019,Prefeitura Municipal de Acarape - CE,CE,DÍVIDA CONSOLIDADA,47266713.72
2019,Prefeitura Municipal de Acarape - CE,CE,Disponibilidade de Caixa Bruta,1803943.69
2019,Prefeitura Municipal de Acarape - CE,CE,RECEITA CORRENTE LÍQUIDA,38699888.65
2019,Prefeitura Municipal de Acaraú - CE,CE,DÍVIDA CONSOLIDADA,10069799.97
2019,Prefeitura Municipal de Acaraú - CE,CE,Disponibilidade de Caixa,10543445.66
2019,Prefeitura Municipal de Acaraú - CE,CE,Disponibilidade de Caixa Bruta,17745250.95
2019,Prefeitura Municipal de Acaraú - CE,CE,RECEITA CORRENTE LÍQUIDA,131548368.37
2019,Prefeitura Municipal de Aiuaba - CE,CE,DÍVIDA CONSOLIDADA,15330573.79
2019,Prefeitura Municipal de Aiuaba - CE,CE,Disponibilidade de Caixa,10509852.66
2019,Prefeitura Municipal de Aiuaba - CE,CE,Disponibilidade de Caixa Bruta,11779882.34
2019,Prefeitura Municipal de Aiuaba - CE,CE,RECEITA CORRENTE LÍQUIDA,51030323.24
2019,Prefeitura Municipal de Alcântaras - CE,CE,Disponibilidade de Caixa,2526649.1
2019,Prefeitura Municipal de Alcântaras - CE,CE,Disponibilidade de Caixa Bruta,2598808.58
2019,Prefeitura Municipal de Alcântaras - CE,CE,RECEITA CORRENTE LÍQUIDA,29524008.58
2019,Prefeitura Municipal de Amontada - CE,CE,DÍVIDA CONSOLIDADA,43849184.44
2019,Prefeitura Municipal de Amontada - CE,CE,Disponibilidade de Caixa,21651092.54
2019,Prefeitura Municipal de Amontada - CE,CE,Disponibilidade de Caixa Bruta,41447268.87
2019,Prefeitura Municipal de Amontada - CE,CE,RECEITA CORRENTE LÍQUIDA,100383250.81
2019,Prefeitura Municipal de Amontada - CE,CE,Precatórios (Não incluídos na DC),35358.93
2019,Prefeitura Municipal de Alto Santo - CE,CE,DÍVIDA CONSOLIDADA,10493172.11
2019,Prefeitura Municipal de Alto Santo - CE,CE,Precatórios (inclusive) Vencidos e Não Pagos,189710.25
2019,Prefeitura Municipal de Alto Santo - CE,CE,Disponibilidade de Caixa,2832690.96
2019,Prefeitura Municipal de Alto Santo - CE,CE,Disponibilidade de Caixa Bruta,6920811.48
2019,Prefeitura Municipal de Alto Santo - CE,CE,RECEITA CORRENTE LÍQUIDA,38489952.37
2019,Prefeitura Municipal de Apuiarés - CE,CE,DÍVIDA CONSOLIDADA,7825859.06
2019,Prefeitura Municipal de Apuiarés - CE,CE,Disponibilidade de Caixa,3387021.1
2019,Prefeitura Municipal de Apuiarés - CE,CE,Disponibilidade de Caixa Bruta,4291265.9
2019,Prefeitura Municipal de Apuiarés - CE,CE,RECEITA CORRENTE LÍQUIDA,32667259.86
2019,Prefeitura Municipal de Aquiraz - CE,CE,DÍVIDA CONSOLIDADA,26581910.04
2019,Prefeitura Municipal de Aquiraz - CE,CE,Precatórios (inclusive) Vencidos e Não Pagos,1000.0
2019,Prefeitura Municipal de Aquiraz - CE,CE,Disponibilidade de Caixa,62205495.43
2019,Prefeitura Municipal de Aquiraz - CE,CE,Disponibilidade de Caixa Bruta,67176073.92
2019,Prefeitura Municipal de Aquiraz - CE,CE,RECEITA CORRENTE LÍQUIDA,250849784.28
2019,Prefeitura Municipal de Aracoiaba - CE,CE,DÍVIDA CONSOLIDADA,36232332.72
2019,Prefeitura Municipal de Aracoiaba - CE,CE,Disponibilidade de Caixa,1151561.17
2019,Prefeitura Municipal de Aracoiaba - CE,CE,Disponibilidade de Caixa Bruta,4871680.82
2019,Prefeitura Municipal de Aracoiaba - CE,CE,RECEITA CORRENTE LÍQUIDA,68792506.77
2019,Prefeitura Municipal de Aracati - CE,CE,DÍVIDA CONSOLIDADA,40290692.83
2019,Prefeitura Municipal de Aracati - CE,CE,Precatórios (inclusive) Vencidos e Não Pagos,8102.17
2019,Prefeitura Municipal de Aracati - CE,CE,Disponibilidade de Caixa,24595261.65
2019,Prefeitura Municipal de Aracati - CE,CE,Disponibilidade de Caixa Bruta,36256554.13
2019,Prefeitura Municipal de Aracati - CE,CE,RECEITA CORRENTE LÍQUIDA,191912095.37
2019,Prefeitura Municipal de Aracati - CE,CE,Precatórios (Não incluídos na DC),5456164.48
2019,Prefeitura Municipal de Araripe - CE,CE,DÍVIDA CONSOLIDADA,1835809.14
2019,Prefeitura Municipal de Araripe - CE,CE,Precatórios (inclusive) Vencidos e Não Pagos,15316.52
2019,Prefeitura Municipal de Araripe - CE,CE,Disponibilidade de Caixa,37554180.15
2019,Prefeitura Municipal de Araripe - CE,CE,Disponibilidade de Caixa Bruta,39439051.16
2019,Prefeitura Municipal de Araripe - CE,CE,RECEITA CORRENTE LÍQUIDA,56976800.8
2019,Prefeitura Municipal de Araripe - CE,CE,Precatórios (Não incluídos na DC),821.9
2019,Prefeitura Municipal de Aratuba - CE,CE,DÍVIDA CONSOLIDADA,12012086.46
2019,Prefeitura Municipal de Aratuba - CE,CE,Disponibilidade de Caixa,3513847.99
2019,Prefeitura Municipal de Aratuba - CE,CE,Disponibilidade de Caixa Bruta,5705774.64
2019,Prefeitura Municipal de Aratuba - CE,CE,RECEITA CORRENTE LÍQUIDA,30924279.67
2019,Prefeitura Municipal de Assaré - CE,CE,DÍVIDA CONSOLIDADA,1343061.89
2019,Prefeitura Municipal de Assaré - CE,CE,Disponibilidade de Caixa,1238610.19
2019,Prefeitura Municipal de Assaré - CE,CE,Disponibilidade de Caixa Bruta,1702083.04
2019,Prefeitura Municipal de Assaré - CE,CE,RECEITA CORRENTE LÍQUIDA,47508718.39
2019,Prefeitura Municipal de Banabuiú - CE,CE,DÍVIDA CONSOLIDADA,25884722.62
2019,Prefeitura Municipal de Banabuiú - CE,CE,Disponibilidade de Caixa,412850.19
2019,Prefeitura Municipal de Banabuiú - CE,CE,Disponibilidade de Caixa Bruta,3759934.85
2019,Prefeitura Municipal de Banabuiú - CE,CE,RECEITA CORRENTE LÍQUIDA,43743340.39
2019,Prefeitura Municipal de Barbalha - CE,CE,DÍVIDA CONSOLIDADA,10811760.56
2019,Prefeitura Municipal de Barbalha - CE,CE,Disponibilidade de Caixa,41063659.51
2019,Prefeitura Municipal de Barbalha - CE,CE,Disponibilidade de Caixa Bruta,43733446.29
2019,Prefeitura Municipal de Barbalha - CE,CE,RECEITA CORRENTE LÍQUIDA,209378520.6
2019,Prefeitura Municipal de Barbalha - CE,CE,Precatórios (Não incluídos na DC),29186.41
2019,Prefeitura Municipal de Barroquinha - CE,CE,DÍVIDA CONSOLIDADA,6817658.29
2019,Prefeitura Municipal de Barroquinha - CE,CE,Disponibilidade de Caixa,5168040.46
2019,Prefeitura Municipal de Barroquinha - CE,CE,Disponibilidade de Caixa Bruta,5568989.41
2019,Prefeitura Municipal de Barroquinha - CE,CE,RECEITA CORRENTE LÍQUIDA,39538097.96
2019,Prefeitura Municipal de Baturité - CE,CE,DÍVIDA CONSOLIDADA,61210269.37
2019,Prefeitura Municipal de Baturité - CE,CE,Precatórios (inclusive) Vencidos e Não Pagos,731184.59
2019,Prefeitura Municipal de Baturité - CE,CE,Disponibilidade de Caixa,1601588.01
2019,Prefeitura Municipal de Baturité - CE,CE,Disponibilidade de Caixa Bruta,4624222.54
2019,Prefeitura Municipal de Baturité - CE,CE,RECEITA CORRENTE LÍQUIDA,76074634.43
2019,Prefeitura Municipal de Barro - CE,CE,DÍVIDA CONSOLIDADA,1012259.38
2019,Prefeitura Municipal de Barro - CE,CE,Disponibilidade de Caixa Bruta,2098043.8
2019,Prefeitura Municipal de Barro - CE,CE,RECEITA CORRENTE LÍQUIDA,42162974.02
2019,Prefeitura Municipal de Barro - CE,CE,Precatórios (Não incluídos na DC),1656.37
2019,Prefeitura Municipal de Beberibe - CE,CE,DÍVIDA CONSOLIDADA,27977164.7
2019,Prefeitura Municipal de Beberibe - CE,CE,Disponibilidade de Caixa,53101088.15
2019,Prefeitura Municipal de Beberibe - CE,CE,Disponibilidade de Caixa Bruta,58058049.62
2019,Prefeitura Municipal de Beberibe - CE,CE,RECEITA CORRENTE LÍQUIDA,113307025.35
2019,Prefeitura Municipal de Boa Viagem - CE,CE,DÍVIDA CONSOLIDADA,23098059.01
2019,Prefeitura Municipal de Boa Viagem - CE,CE,Disponibilidade de Caixa,3849597.92
2019,Prefeitura Municipal de Boa Viagem - CE,CE,Disponibilidade de Caixa Bruta,14148723.76
2019,Prefeitura Municipal de Boa Viagem - CE,CE,RECEITA CORRENTE LÍQUIDA,93211288.55
2019,Prefeitura Municipal de Brejo Santo - CE,CE,DÍVIDA CONSOLIDADA,1490633.69
2019,Prefeitura Municipal de Brejo Santo - CE,CE,RECEITA CORRENTE LÍQUIDA,129299931.1
2019,Prefeitura Municipal de Bela Cruz - CE,CE,DÍVIDA CONSOLIDADA,22321096.05
2019,Prefeitura Municipal de Bela Cruz - CE,CE,Disponibilidade de Caixa Bruta,4456858.27
2019,Prefeitura Municipal de Bela Cruz - CE,CE,RECEITA CORRENTE LÍQUIDA,59004048.34
2019,Prefeitura Municipal de Bela Cruz - CE,CE,Precatórios (Não incluídos na DC),6273.46
2019,Prefeitura Municipal de Canindé - CE,CE,DÍVIDA CONSOLIDADA,75072135.79
2019,Prefeitura Municipal de Canindé - CE,CE,Disponibilidade de Caixa,14012875.76
2019,Prefeitura Municipal de Canindé - CE,CE,Disponibilidade de Caixa Bruta,29627645.84
2019,Prefeitura Municipal de Canindé - CE,CE,RECEITA CORRENTE LÍQUIDA,180195477.75
2019,Prefeitura Municipal de Canindé - CE,CE,Precatórios (Não incluídos na DC),16852.06
2019,Prefeitura Municipal de Camocim - CE,CE,DÍVIDA CONSOLIDADA,40659758.64
2019,Prefeitura Municipal de Camocim - CE,CE,Disponibilidade de Caixa,27336692.61
2019,Prefeitura Municipal de Camocim - CE,CE,Disponibilidade de Caixa Bruta,32546710.84
2019,Prefeitura Municipal de Camocim - CE,CE,RECEITA CORRENTE LÍQUIDA,134381052.56
2019,Prefeitura Municipal de Camocim - CE,CE,Precatórios (Não incluídos na DC),78.78
2019,Prefeitura Municipal de Campos Sales - CE,CE,DÍVIDA CONSOLIDADA,54260355.75
2019,Prefeitura Municipal de Campos Sales - CE,CE,Disponibilidade de Caixa,24623931.23
2019,Prefeitura Municipal de Campos Sales - CE,CE,Disponibilidade de Caixa Bruta,5742473.84
2019,Prefeitura Municipal de Campos Sales - CE,CE,RECEITA CORRENTE LÍQUIDA,54396711.82
2019,Prefeitura Municipal de Cariré - CE,CE,DÍVIDA CONSOLIDADA,6569711.34
2019,Prefeitura Municipal de Cariré - CE,CE,Disponibilidade de Caixa,20675979.31
2019,Prefeitura Municipal de Cariré - CE,CE,Disponibilidade de Caixa Bruta,10127714.02
2019,Prefeitura Municipal de Cariré - CE,CE,RECEITA CORRENTE LÍQUIDA,50026328.83
2019,Prefeitura Municipal de Capistrano - CE,CE,DÍVIDA CONSOLIDADA,13669895.59
2019,Prefeitura Municipal de Capistrano - CE,CE,Disponibilidade de Caixa,9905941.75
2019,Prefeitura Municipal de Capistrano - CE,CE,Disponibilidade de Caixa Bruta,14639712.99
2019,Prefeitura Municipal de Capistrano - CE,CE,RECEITA CORRENTE LÍQUIDA,42389176.04
2019,Prefeitura Municipal de Caridade - CE,CE,DÍVIDA CONSOLIDADA,57323702.24
2019,Prefeitura Municipal de Caridade - CE,CE,Disponibilidade de Caixa,7472152.35
2019,Prefeitura Municipal de Caridade - CE,CE,Disponibilidade de Caixa Bruta,14299616.34
2019,Prefeitura Municipal de Caridade - CE,CE,RECEITA CORRENTE LÍQUIDA,61735728.28
2019,Prefeitura Municipal de Carnaubal - CE,CE,Disponibilidade de Caixa,4162483.63
