exercicio,periodo,relatorio,co_ibge,instituicao,uf,conta,valor,simplificado
2024,3,RGF-Municipio,2300903,APUIARES,CE,DÍVIDA CONSOLIDADA,8651532.38,False
2024,3,RGF-Municipio,2300903,APUIARES,CE,Disponibilidade de Caixa,696000.05,False
2024,3,RGF-Municipio,2300903,APUIARES,CE,Disponibilidade de Caixa Bruta,3123746.53,False
2024,3,RGF-Municipio,2300903,APUIARES,CE,RECEITA CORRENTE LÍQUIDA,66884064.94,False
2024,3,RGF-Municipio,2300903,APUIARES,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,65602687.94,False
2024,3,RGF-Municipio,2300903,APUIARES,CE,% da DC sobre a RCL AJUSTADA,13.19,False
2024,3,RGF-Municipio,2300903,APUIARES,CE,% da DCL sobre a RCL AJUSTADA,12.13,False
2024,3,RGF-Municipio,2301109,ARACATI,CE,DÍVIDA CONSOLIDADA,54717807.05,False
2024,3,RGF-Municipio,2301109,ARACATI,CE,Precatórios (inclusive) Vencidos e Não Pagos,8102.17,False
2024,3,RGF-Municipio,2301109,ARACATI,CE,Disponibilidade de Caixa,-31324313.68,False
2024,3,RGF-Municipio,2301109,ARACATI,CE,Disponibilidade de Caixa Bruta,16132868.46,False
2024,3,RGF-Municipio,2301109,ARACATI,CE,RECEITA CORRENTE LÍQUIDA,372139465.6,False
2024,3,RGF-Municipio,2301109,ARACATI,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,365539465.6,False
2024,3,RGF-Municipio,2301109,ARACATI,CE,% da DC sobre a RCL AJUSTADA,14.97,False
2024,3,RGF-Municipio,2301109,ARACATI,CE,% da DCL sobre a RCL AJUSTADA,23.54,False
2024,3,RGF-Municipio,2301109,ARACATI,CE,Precatórios (Não incluídos na DC),6936839.78,False
2024,3,RGF-Municipio,2303006,CARIDADE,CE,DÍVIDA CONSOLIDADA,59235131.31,False
2024,3,RGF-Municipio,2303006,CARIDADE,CE,Disponibilidade de Caixa,-12518866.93,False
2024,3,RGF-Municipio,2303006,CARIDADE,CE,Disponibilidade de Caixa Bruta,4656522.16,False
2024,3,RGF-Municipio,2303006,CARIDADE,CE,RECEITA CORRENTE LÍQUIDA,114432580.29,False
2024,3,RGF-Municipio,2303006,CARIDADE,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,111839096.29,False
2024,3,RGF-Municipio,2303006,CARIDADE,CE,% da DC sobre a RCL AJUSTADA,52.96,False
2024,3,RGF-Municipio,2303006,CARIDADE,CE,% da DCL sobre a RCL AJUSTADA,64.16,False
2024,3,RGF-Municipio,2304608,GENERAL SAMPAIO,CE,DÍVIDA CONSOLIDADA,8090813.93,False
2024,3,RGF-Municipio,2304608,GENERAL SAMPAIO,CE,Disponibilidade de Caixa,-954486.51,False
2024,3,RGF-Municipio,2304608,GENERAL SAMPAIO,CE,Disponibilidade de Caixa Bruta,3317536.26,False
2024,3,RGF-Municipio,2304608,GENERAL SAMPAIO,CE,RECEITA CORRENTE LÍQUIDA,57655736.4,False
2024,3,RGF-Municipio,2304608,GENERAL SAMPAIO,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,56045736.4,False
2024,3,RGF-Municipio,2304608,GENERAL SAMPAIO,CE,% da DC sobre a RCL AJUSTADA,14.44,False
2024,3,RGF-Municipio,2304608,GENERAL SAMPAIO,CE,% da DCL sobre a RCL AJUSTADA,16.14,False
2024,3,RGF-Municipio,2306504,ITAPIUNA,CE,DÍVIDA CONSOLIDADA,19562186.35,False
2024,3,RGF-Municipio,2306504,ITAPIUNA,CE,Disponibilidade de Caixa,1806980.19,False
2024,3,RGF-Municipio,2306504,ITAPIUNA,CE,Disponibilidade de Caixa Bruta,5161173.58,False
2024,3,RGF-Municipio,2306504,ITAPIUNA,CE,RECEITA CORRENTE LÍQUIDA,83520370.45,False
2024,3,RGF-Municipio,2306504,ITAPIUNA,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,82820370.45,False
2024,3,RGF-Municipio,2306504,ITAPIUNA,CE,% da DC sobre a RCL AJUSTADA,23.62,False
2024,3,RGF-Municipio,2306504,ITAPIUNA,CE,% da DCL sobre a RCL AJUSTADA,21.44,False
2024,3,RGF-Municipio,2306504,ITAPIUNA,CE,Precatórios (Não incluídos na DC),197548.02,False
2024,3,RGF-Municipio,2308500,MOMBACA,CE,DÍVIDA CONSOLIDADA,61079999.04,False
2024,3,RGF-Municipio,2308500,MOMBACA,CE,Disponibilidade de Caixa,-4173533.36,False
2024,3,RGF-Municipio,2308500,MOMBACA,CE,Disponibilidade de Caixa Bruta,10735791.94,False
2024,3,RGF-Municipio,2308500,MOMBACA,CE,RECEITA CORRENTE LÍQUIDA,171108745.58,False
2024,3,RGF-Municipio,2308500,MOMBACA,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,168309839.58,False
2024,3,RGF-Municipio,2308500,MOMBACA,CE,% da DC sobre a RCL AJUSTADA,36.29,False
2024,3,RGF-Municipio,2308500,MOMBACA,CE,% da DCL sobre a RCL AJUSTADA,38.77,False
