exercicio,instituicao,uf,conta,valor
2023,Prefeitura Municipal de Teresina - PI,PI,DÍVIDA CONSOLIDADA - DC (I),1186795824.8
2023,Prefeitura Municipal de Teresina - PI,PI,Disponibilidade de Caixa,273426424.88
2023,Prefeitura Municipal de Teresina - PI,PI,Disponibilidade de Caixa Bruta,413846328.31
2023,Prefeitura Municipal de Teresina - PI,PI,RECEITA CORRENTE LÍQUIDA - RCL (IV),3557784360.14
2023,Prefeitura Municipal de Teresina - PI,PI,% da DC sobre a RCL AJUSTADA (I/VI),33.54
2023,Prefeitura Municipal de Teresina - PI,PI,% da DCL sobre a RCL AJUSTADA (III/VI),25.75
2023,Prefeitura Municipal do Rio de Janeiro - RJ,RJ,DÍVIDA CONSOLIDADA - DC (I),17333908027.85
2023,Prefeitura Municipal do Rio de Janeiro - RJ,RJ,Disponibilidade de Caixa,8328226010.17
2023,Prefeitura Municipal do Rio de Janeiro - RJ,RJ,Disponibilidade de Caixa Bruta,9663415350.39
2023,Prefeitura Municipal do Rio de Janeiro - RJ,RJ,RECEITA CORRENTE LÍQUIDA - RCL (IV),30887301525.24
2023,Prefeitura Municipal do Rio de Janeiro - RJ,RJ,% da DC sobre a RCL AJUSTADA (I/VI),56.16
2023,Prefeitura Municipal do Rio de Janeiro - RJ,RJ,% da DCL sobre a RCL AJUSTADA (III/VI),28.7
2023,Prefeitura Municipal do Rio de Janeiro - RJ,RJ,Precatórios Posteriores a 05/05/2000 (Não incluídos na DC),402100268.74
2024,Prefeitura Municipal de Teresina - PI,PI,DÍVIDA CONSOLIDADA - DC (I),1339555978.17
2024,Prefeitura Municipal de Teresina - PI,PI,Precatórios Posteriores a 05/05/2000 (inclusive) Vencidos e Não Pagos,1259176.3
2024,Prefeitura Municipal de Teresina - PI,PI,Disponibilidade de Caixa,290127919.57
2024,Prefeitura Municipal de Teresina - PI,PI,Disponibilidade de Caixa Bruta,536824100.47
2024,Prefeitura Municipal de Teresina - PI,PI,RECEITA CORRENTE LÍQUIDA - RCL (IV),4203809487.79
2024,Prefeitura Municipal de Teresina - PI,PI,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO (VI) = (IV - V),4203809487.79
2024,Prefeitura Municipal de Teresina - PI,PI,% da DC sobre a RCL AJUSTADA (I/VI),31.87
2024,Prefeitura Municipal de Teresina - PI,PI,% da DCL sobre a RCL AJUSTADA (III/VI),24.85
2024,Prefeitura Municipal de Teresina - PI,PI,Precatórios Posteriores a 05/05/2000 (Não incluídos na DC),313384.46
2024,Prefeitura Municipal do Rio de Janeiro - RJ,RJ,DÍVIDA CONSOLIDADA - DC (I),15816230305.56
2024,Prefeitura Municipal do Rio de Janeiro - RJ,RJ,Disponibilidade de Caixa,5333379098.81
2024,Prefeitura Municipal do Rio de Janeiro - RJ,RJ,Disponibilidade de Caixa Bruta,7494606270.31
2024,Prefeitura Municipal do Rio de Janeiro - RJ,RJ,RECEITA CORRENTE LÍQUIDA - RCL (IV),32389635443.63
2024,Prefeitura Municipal do Rio de Janeiro - RJ,RJ,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO (VI) = (IV - V),32345112157.63
2024,Prefeitura Municipal do Rio de Janeiro - RJ,RJ,% da DC sobre a RCL AJUSTADA (I/VI),48.9
2024,Prefeitura Municipal do Rio de Janeiro - RJ,RJ,% da DCL sobre a RCL AJUSTADA (III/VI),32.04
2024,Prefeitura Municipal do Rio de Janeiro - RJ,RJ,Precatórios Posteriores a 05/05/2000 (Não incluídos na DC),547453122.31
