exercicio,instituicao,uf,conta,valor
2019,Prefeitura Municipal de Alagoinha - PE,PE,DÍVIDA CONSOLIDADA,4451408.86
2019,Prefeitura Municipal de Alagoinha - PE,PE,Disponibilidade de Caixa Bruta,1979127.1
2019,Prefeitura Municipal de Alagoinha - PE,PE,RECEITA CORRENTE LÍQUIDA,34498154.26
2019,Prefeitura Municipal de Aliança - PE,PE,Disponibilidade de Caixa,1438622.36
2019,Prefeitura Municipal de Aliança - PE,PE,Disponibilidade de Caixa Bruta,-169512.73
2019,Prefeitura Municipal de Aliança - PE,PE,RECEITA CORRENTE LÍQUIDA,68170864.09
2019,Prefeitura Municipal de Afrânio - PE,PE,DÍVIDA CONSOLIDADA,7044227.64
2019,Prefeitura Municipal de Afrânio - PE,PE,Disponibilidade de Caixa,3760507.55
2019,Prefeitura Municipal de Afrânio - PE,PE,Disponibilidade de Caixa Bruta,4266921.1
2019,Prefeitura Municipal de Afrânio - PE,PE,RECEITA CORRENTE LÍQUIDA,47057835.72
2019,Prefeitura Municipal de Agrestina - PE,PE,DÍVIDA CONSOLIDADA,21468206.71
2019,Prefeitura Municipal de Agrestina - PE,PE,Disponibilidade de Caixa,12061859.85
2019,Prefeitura Municipal de Agrestina - PE,PE,Disponibilidade de Caixa Bruta,14351432.44
2019,Prefeitura Municipal de Agrestina - PE,PE,RECEITA CORRENTE LÍQUIDA,59558746.62
2019,Prefeitura Municipal de Águas Belas - PE,PE,DÍVIDA CONSOLIDADA,25689954.74
2019,Prefeitura Municipal de Águas Belas - PE,PE,Disponibilidade de Caixa Bruta,4684114.68
2019,Prefeitura Municipal de Águas Belas - PE,PE,RECEITA CORRENTE LÍQUIDA,76933741.64
2019,Prefeitura Municipal de Água Preta - PE,PE,DÍVIDA CONSOLIDADA,33243278.86
2019,Prefeitura Municipal de Água Preta - PE,PE,Precatórios (inclusive) Vencidos e Não Pagos,2397485.87
2019,Prefeitura Municipal de Água Preta - PE,PE,Disponibilidade de Caixa Bruta,2629290.19
2019,Prefeitura Municipal de Água Preta - PE,PE,RECEITA CORRENTE LÍQUIDA,66372635.46
2019,Prefeitura Municipal de Abreu e Lima - PE,PE,DÍVIDA CONSOLIDADA,26507838.49
2019,Prefeitura Municipal de Abreu e Lima - PE,PE,Disponibilidade de Caixa,7756014.14
2019,Prefeitura Municipal de Abreu e Lima - PE,PE,Disponibilidade de Caixa Bruta,14998310.28
2019,Prefeitura Municipal de Abreu e Lima - PE,PE,RECEITA CORRENTE LÍQUIDA,149899978.35
2019,Prefeitura Municipal de Amaraji - PE,PE,RECEITA CORRENTE LÍQUIDA,50149893.09
2019,Prefeitura Municipal de Altinho - PE,PE,DÍVIDA CONSOLIDADA,12916599.5
2019,Prefeitura Municipal de Altinho - PE,PE,Disponibilidade de Caixa,467237.41
2019,Prefeitura Municipal de Altinho - PE,PE,Disponibilidade de Caixa Bruta,4319496.83
2019,Prefeitura Municipal de Altinho - PE,PE,RECEITA CORRENTE LÍQUIDA,55054028.17
2019,Prefeitura Municipal de Araripina - PE,PE,DÍVIDA CONSOLIDADA,73356645.7
2019,Prefeitura Municipal de Araripina - PE,PE,Disponibilidade de Caixa,1119464.87
2019,Prefeitura Municipal de Araripina - PE,PE,Disponibilidade de Caixa Bruta,16842042.4
2019,Prefeitura Municipal de Araripina - PE,PE,RECEITA CORRENTE LÍQUIDA,158431373.98
2019,Prefeitura Municipal de Barra de Guabiraba - PE,PE,DÍVIDA CONSOLIDADA,3633389.58
2019,Prefeitura Municipal de Barra de Guabiraba - PE,PE,Precatórios (inclusive) Vencidos e Não Pagos,64471.21
2019,Prefeitura Municipal de Barra de Guabiraba - PE,PE,Disponibilidade de Caixa,921985.99
