exercicio,instituicao,uf,conta,valor
2023,Governo do Estado do Piauí,PI,DÍVIDA CONSOLIDADA - DC (I),10502539880.0
2023,Governo do Estado do Piauí,PI,Empréstimos,7998451537.16
2023,Governo do Estado do Piauí,PI,Parcelamento e Renegociação de Dívidas,174064001.4
2023,Governo do Estado do Piauí,PI,Demais Dívidas Contratuais,87173706.45
2023,Governo do Estado do Piauí,PI,Precatórios Posteriores a 05/05/2000 (inclusive) Vencidos e Não Pagos,2137693486.83
2023,Governo do Estado do Piauí,PI,Disponibilidade de Caixa,3186111896.31
2023,Governo do Estado do Piauí,PI,Disponibilidade de Caixa Bruta,4099864140.05
2023,Governo do Estado do Piauí,PI,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),7236756157.34
2023,Governo do Estado do Piauí,PI,RECEITA CORRENTE LÍQUIDA - RCL (IV),15380829481.76
2023,Governo do Estado do Piauí,PI,% da DC sobre a RCL AJUSTADA (I/VI),68.3
2023,Governo do Estado do Piauí,PI,% da DCL sobre a RCL AJUSTADA (III/VI),47.06
2023,Governo do Estado do Piauí,PI,Precatórios Posteriores a 05/05/2000 (Não incluídos na DC),295600220.79
2023,Governo do Estado do Ceará,CE,DÍVIDA CONSOLIDADA - DC (I),16956179101.93
2023,Governo do Estado do Ceará,CE,Empréstimos,14046198409.73
2023,Governo do Estado do Ceará,CE,Parcelamento e Renegociação de Dívidas,12959278.4
2023,Governo do Estado do Ceará,CE,Demais Dívidas Contratuais,262117816.04
2023,Governo do Estado do Ceará,CE,Precatórios Posteriores a 05/05/2000 (inclusive) Vencidos e Não Pagos,537929391.54
2023,Governo do Estado do Ceará,CE,Disponibilidade de Caixa,7111157872.26
2023,Governo do Estado do Ceará,CE,Disponibilidade de Caixa Bruta,8395784106.02
2023,Governo do Estado do Ceará,CE,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),9501906885.65
2023,Governo do Estado do Ceará,CE,RECEITA CORRENTE LÍQUIDA - RCL (IV),31973785169.88
2023,Governo do Estado do Ceará,CE,% da DC sobre a RCL AJUSTADA (I/VI),53.06
2023,Governo do Estado do Ceará,CE,% da DCL sobre a RCL AJUSTADA (III/VI),29.73
2023,Governo do Estado do Ceará,CE,Precatórios Posteriores a 05/05/2000 (Não incluídos na DC),30606994.13
2023,Governo do Estado do Rio Grande do Norte,RN,DÍVIDA CONSOLIDADA - DC (I),4452045566.5
2023,Governo do Estado do Rio Grande do Norte,RN,Empréstimos,2005207251.09
2023,Governo do Estado do Rio Grande do Norte,RN,Parcelamento e Renegociação de Dívidas,229592774.0
2023,Governo do Estado do Rio Grande do Norte,RN,Precatórios Posteriores a 05/05/2000 (inclusive) Vencidos e Não Pagos,1556970669.16
2023,Governo do Estado do Rio Grande do Norte,RN,Disponibilidade de Caixa,81253723.59
2023,Governo do Estado do Rio Grande do Norte,RN,Disponibilidade de Caixa Bruta,1651757299.8
2023,Governo do Estado do Rio Grande do Norte,RN,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),4101520827.02
2023,Governo do Estado do Rio Grande do Norte,RN,RECEITA CORRENTE LÍQUIDA - RCL (IV),16215892205.45
2023,Governo do Estado do Rio Grande do Norte,RN,% da DC sobre a RCL AJUSTADA (I/VI),27.5
2023,Governo do Estado do Rio Grande do Norte,RN,% da DCL sobre a RCL AJUSTADA (III/VI),25.33
2023,Governo do Estado do Rio Grande do Norte,RN,Precatórios Posteriores a 05/05/2000 (Não incluídos na DC),1590525119.48
2024,Governo do Estado do Piauí,PI,DÍVIDA CONSOLIDADA - DC (I),13178868744.35
2024,Governo do Estado do Piauí,PI,Empréstimos,10433562472.36
2024,Governo do Estado do Piauí,PI,Parcelamento e Renegociação de Dívidas,147643396.94
