exercicio,periodo,relatorio,co_ibge,instituicao,uf,conta,valor,simplificado
2019,3,RGF-UF,25,GOVERNO DO ESTADO DA PARAIBA,PB,DÍVIDA CONSOLIDADA,4472371957.48,False
2019,3,RGF-UF,25,GOVERNO DO ESTADO DA PARAIBA,PB,Empréstimos,593104033.66,False
2019,3,RGF-UF,25,GOVERNO DO ESTADO DA PARAIBA,PB,Precatórios (inclusive) Vencidos e Não Pagos,1960442267.04,False
2019,3,RGF-UF,25,GOVERNO DO ESTADO DA PARAIBA,PB,Disponibilidade de Caixa,1812508929.22,False
2019,3,RGF-UF,25,GOVERNO DO ESTADO DA PARAIBA,PB,Disponibilidade de Caixa Bruta,1982821265.25,False
2019,3,RGF-UF,25,GOVERNO DO ESTADO DA PARAIBA,PB,DÍVIDA CONSOLIDADA LÍQUIDA,2382452799.0,False
2024,3,RGF-UF,28,GOVERNO DO ESTADO DE SERGIPE,SE,DÍVIDA CONSOLIDADA,5289302653.36,False
2024,3,RGF-UF,28,GOVERNO DO ESTADO DE SERGIPE,SE,Parcelamento e Renegociação de Dívidas,69665977.65,False
2024,3,RGF-UF,28,GOVERNO DO ESTADO DE SERGIPE,SE,Precatórios (inclusive) Vencidos e Não Pagos,1536360002.21,False
2024,3,RGF-UF,28,GOVERNO DO ESTADO DE SERGIPE,SE,Disponibilidade de Caixa,2556761524.46,False
2024,3,RGF-UF,28,GOVERNO DO ESTADO DE SERGIPE,SE,Disponibilidade de Caixa Bruta,3321506398.09,False
2024,3,RGF-UF,28,GOVERNO DO ESTADO DE SERGIPE,SE,DÍVIDA CONSOLIDADA LÍQUIDA,1764039149.17,False
2024,3,RGF-UF,28,GOVERNO DO ESTADO DE SERGIPE,SE,RECEITA CORRENTE LÍQUIDA,15308466568.23,False
2024,3,RGF-UF,28,GOVERNO DO ESTADO DE SERGIPE,SE,RECEITA CORRENTE LÍQUIDA AJUSTADA,15258932091.23,False
2024,3,RGF-UF,28,GOVERNO DO ESTADO DE SERGIPE,SE,% da DC sobre a RCL AJUSTADA,34.66,False
2024,3,RGF-UF,28,GOVERNO DO ESTADO DE SERGIPE,SE,% da DCL sobre a RCL AJUSTADA,11.56,False
2024,3,RGF-UF,28,GOVERNO DO ESTADO DE SERGIPE,SE,Precatórios (Não incluídos na DC),207951919.86,False
2024,3,RGF-UF,21,GOVERNO DO ESTADO DO MARANHAO,MA,DÍVIDA CONSOLIDADA,5893676264.29,False
2024,3,RGF-UF,21,GOVERNO DO ESTADO DO MARANHAO,MA,Empréstimos,2784519403.73,False
2024,3,RGF-UF,21,GOVERNO DO ESTADO DO MARANHAO,MA,Precatórios (inclusive) Vencidos e Não Pagos,2091639261.07,False
2024,3,RGF-UF,21,GOVERNO DO ESTADO DO MARANHAO,MA,Disponibilidade de Caixa,4999491190.33,False
2024,3,RGF-UF,21,GOVERNO DO ESTADO DO MARANHAO,MA,Disponibilidade de Caixa Bruta,6938236621.75,False
2024,3,RGF-UF,21,GOVERNO DO ESTADO DO MARANHAO,MA,DÍVIDA CONSOLIDADA LÍQUIDA,893355845.36,False
2024,3,RGF-UF,21,GOVERNO DO ESTADO DO MARANHAO,MA,RECEITA CORRENTE LÍQUIDA,29586751705.73,False
2024,3,RGF-UF,21,GOVERNO DO ESTADO DO MARANHAO,MA,RECEITA CORRENTE LÍQUIDA AJUSTADA,29530663124.73,False
2024,3,RGF-UF,21,GOVERNO DO ESTADO DO MARANHAO,MA,% da DC sobre a RCL AJUSTADA,19.96,False
2024,3,RGF-UF,21,GOVERNO DO ESTADO DO MARANHAO,MA,% da DCL sobre a RCL AJUSTADA,3.03,False
2024,3,RGF-UF,21,GOVERNO DO ESTADO DO MARANHAO,MA,Precatórios (Não incluídos na DC),69052.44,False
2023,3,RGF-UF,24,GOVERNO DO ESTADO DO RIO GRANDE DO NORTE,RN,DÍVIDA CONSOLIDADA,4452045566.5,False
2023,3,RGF-UF,24,GOVERNO DO ESTADO DO RIO GRANDE DO NORTE,RN,Empréstimos,2005207251.09,False
2023,3,RGF-UF,24,GOVERNO DO ESTADO DO RIO GRANDE DO NORTE,RN,Parcelamento e Renegociação de Dívidas,229592774.0,False
2023,3,RGF-UF,24,GOVERNO DO ESTADO DO RIO GRANDE DO NORTE,RN,Precatórios (inclusive) Vencidos e Não Pagos,1556970669.16,False
2023,3,RGF-UF,24,GOVERNO DO ESTADO DO RIO GRANDE DO NORTE,RN,Disponibilidade de Caixa,81253723.59,False
2023,3,RGF-UF,24,GOVERNO DO ESTADO DO RIO GRANDE DO NORTE,RN,Disponibilidade de Caixa Bruta,1651757299.8,False
2023,3,RGF-UF,24,GOVERNO DO ESTADO DO RIO GRANDE DO NORTE,RN,DÍVIDA CONSOLIDADA LÍQUIDA,4101520827.02,False
2023,3,RGF-UF,24,GOVERNO DO ESTADO DO RIO GRANDE DO NORTE,RN,RECEITA CORRENTE LÍQUIDA,16215892205.45,False
2023,3,RGF-UF,24,GOVERNO DO ESTADO DO RIO GRANDE DO NORTE,RN,% da DC sobre a RCL AJUSTADA,27.5,False
2023,3,RGF-UF,24,GOVERNO DO ESTADO DO RIO GRANDE DO NORTE,RN,% da DCL sobre a RCL AJUSTADA,25.33,False
2023,3,RGF-UF,24,GOVERNO DO ESTADO DO RIO GRANDE DO NORTE,RN,Precatórios (Não incluídos na DC),1590525119.48,False
2022,3,RGF-UF,26,GOVERNO DO ESTADO DE PERNAMBUCO,PE,DÍVIDA CONSOLIDADA,16857697286.11,False
2022,3,RGF-UF,26,GOVERNO DO ESTADO DE PERNAMBUCO,PE,Empréstimos,12805262368.59,False
2022,3,RGF-UF,26,GOVERNO DO ESTADO DE PERNAMBUCO,PE,Parcelamento e Renegociação de Dívidas,45737025.63,False
2022,3,RGF-UF,26,GOVERNO DO ESTADO DE PERNAMBUCO,PE,Precatórios (inclusive) Vencidos e Não Pagos,254902879.12,False
2022,3,RGF-UF,26,GOVERNO DO ESTADO DE PERNAMBUCO,PE,Disponibilidade de Caixa,3625094917.52,False
2022,3,RGF-UF,26,GOVERNO DO ESTADO DE PERNAMBUCO,PE,Disponibilidade de Caixa Bruta,6029199660.35,False
2022,3,RGF-UF,26,GOVERNO DO ESTADO DE PERNAMBUCO,PE,DÍVIDA CONSOLIDADA LÍQUIDA,12970167751.7,False
2022,3,RGF-UF,26,GOVERNO DO ESTADO DE PERNAMBUCO,PE,RECEITA CORRENTE LÍQUIDA,36722105248.87,False
2022,3,RGF-UF,26,GOVERNO DO ESTADO DE PERNAMBUCO,PE,% da DC sobre a RCL AJUSTADA,45.92,False
2022,3,RGF-UF,26,GOVERNO DO ESTADO DE PERNAMBUCO,PE,% da DCL sobre a RCL AJUSTADA,35.33,False
2021,3,RGF-UF,28,GOVERNO DO ESTADO DE SERGIPE,SE,DÍVIDA CONSOLIDADA,4695762275.12,False
2021,3,RGF-UF,28,GOVERNO DO ESTADO DE SERGIPE,SE,Parcelamento e Renegociação de Dívidas,84573885.31,False
2021,3,RGF-UF,28,GOVERNO DO ESTADO DE SERGIPE,SE,Precatórios (inclusive) Vencidos e Não Pagos,1359498867.36,False
2021,3,RGF-UF,28,GOVERNO DO ESTADO DE SERGIPE,SE,Disponibilidade de Caixa,1458797175.67,False
2021,3,RGF-UF,28,GOVERNO DO ESTADO DE SERGIPE,SE,Disponibilidade de Caixa Bruta,1466172652.23,False
2021,3,RGF-UF,28,GOVERNO DO ESTADO DE SERGIPE,SE,DÍVIDA CONSOLIDADA LÍQUIDA,2843275395.19,False
2021,3,RGF-UF,28,GOVERNO DO ESTADO DE SERGIPE,SE,RECEITA CORRENTE LÍQUIDA,9674448310.22,False
2021,3,RGF-UF,28,GOVERNO DO ESTADO DE SERGIPE,SE,% da DC sobre a RCL AJUSTADA,48.55,False
2021,3,RGF-UF,28,GOVERNO DO ESTADO DE SERGIPE,SE,% da DCL sobre a RCL AJUSTADA,29.4,False
2021,3,RGF-UF,28,GOVERNO DO ESTADO DE SERGIPE,SE,Precatórios (Não incluídos na DC),128142721.99,False
2021,3,RGF-UF,21,GOVERNO DO ESTADO DO MARANHAO,MA,DÍVIDA CONSOLIDADA,8367836466.31,False
2021,3,RGF-UF,21,GOVERNO DO ESTADO DO MARANHAO,MA,Empréstimos,5849431415.65,False
2021,3,RGF-UF,21,GOVERNO DO ESTADO DO MARANHAO,MA,Precatórios (inclusive) Vencidos e Não Pagos,1656482530.52,False
2021,3,RGF-UF,21,GOVERNO DO ESTADO DO MARANHAO,MA,Disponibilidade de Caixa,794898334.84,False
2021,3,RGF-UF,21,GOVERNO DO ESTADO DO MARANHAO,MA,Disponibilidade de Caixa Bruta,1700517564.29,False
2021,3,RGF-UF,21,GOVERNO DO ESTADO DO MARANHAO,MA,DÍVIDA CONSOLIDADA LÍQUIDA,7550852448.33,False
2021,3,RGF-UF,21,GOVERNO DO ESTADO DO MARANHAO,MA,RECEITA CORRENTE LÍQUIDA,18273349131.85,False
2021,3,RGF-UF,21,GOVERNO DO ESTADO DO MARANHAO,MA,% da DC sobre a RCL AJUSTADA,45.79,False
2021,3,RGF-UF,21,GOVERNO DO ESTADO DO MARANHAO,MA,% da DCL sobre a RCL AJUSTADA,41.32,False
2021,3,RGF-UF,21,GOVERNO DO ESTADO DO MARANHAO,MA,Precatórios (Não incluídos na DC),201236261.37,False
2020,3,RGF-UF,23,GOVERNO DO ESTADO DO CEARA,CE,DÍVIDA CONSOLIDADA,17783339122.52,False
2020,3,RGF-UF,23,GOVERNO DO ESTADO DO CEARA,CE,Empréstimos,15276057918.01,False
2020,3,RGF-UF,23,GOVERNO DO ESTADO DO CEARA,CE,Parcelamento e Renegociação de Dívidas,43091101.59,False
2020,3,RGF-UF,23,GOVERNO DO ESTADO DO CEARA,CE,Demais Dívidas Contratuais,324525712.65,False
2020,3,RGF-UF,23,GOVERNO DO ESTADO DO CEARA,CE,Precatórios (inclusive) Vencidos e Não Pagos,518483807.45,False
2020,3,RGF-UF,23,GOVERNO DO ESTADO DO CEARA,CE,Disponibilidade de Caixa,5688104349.19,False
2020,3,RGF-UF,23,GOVERNO DO ESTADO DO CEARA,CE,Disponibilidade de Caixa Bruta,5815939118.93,False
2020,3,RGF-UF,23,GOVERNO DO ESTADO DO CEARA,CE,DÍVIDA CONSOLIDADA LÍQUIDA,11973622896.16,False
2020,3,RGF-UF,23,GOVERNO DO ESTADO DO CEARA,CE,RECEITA CORRENTE LÍQUIDA,22028314984.46,False
2020,3,RGF-UF,23,GOVERNO DO ESTADO DO CEARA,CE,% da DC sobre a RCL AJUSTADA,80.82,False
2020,3,RGF-UF,23,GOVERNO DO ESTADO DO CEARA,CE,% da DCL sobre a RCL AJUSTADA,54.42,False
2020,3,RGF-UF,23,GOVERNO DO ESTADO DO CEARA,CE,Precatórios (Não incluídos na DC),4115878.99,False
2019,3,RGF-UF,23,GOVERNO DO ESTADO DO CEARA,CE,DÍVIDA CONSOLIDADA,14906375117.99,False
2019,3,RGF-UF,23,GOVERNO DO ESTADO DO CEARA,CE,Empréstimos,12306362054.06,False
2019,3,RGF-UF,23,GOVERNO DO ESTADO DO CEARA,CE,Parcelamento e Renegociação de Dívidas,222405521.48,False
2019,3,RGF-UF,23,GOVERNO DO ESTADO DO CEARA,CE,Demais Dívidas Contratuais,346281672.4,False
2019,3,RGF-UF,23,GOVERNO DO ESTADO DO CEARA,CE,Precatórios (inclusive) Vencidos e Não Pagos,433124638.55,False
2019,3,RGF-UF,23,GOVERNO DO ESTADO DO CEARA,CE,Disponibilidade de Caixa,3783429347.88,False
2019,3,RGF-UF,23,GOVERNO DO ESTADO DO CEARA,CE,Disponibilidade de Caixa Bruta,4071407516.34,False
2019,3,RGF-UF,23,GOVERNO DO ESTADO DO CEARA,CE,DÍVIDA CONSOLIDADA LÍQUIDA,10995170453.7,False
